Crop,Soil,Rainfall,Temperature,Fertilizer,Area,Yield
Apples,Peaty,1106.9,17.85,89.91,9.81,4.62
Tea,Loamy,406.78,14.65,238.24,8.48,0.74
Cassava,Loamy,1470.65,19.99,157.15,8.61,0.64
Garlic,Loamy,700.89,23.02,70.31,8.39,4.51
Zucchini,Clay,632.37,21.81,101.6,7.25,0.78
Tobacco,Chalky,603.69,31.85,248.97,2.75,1.47
Strawberries,Peaty,1110.05,33.92,54.63,6.59,2.35
Oats,Loamy,905.47,15.18,216.28,7.91,0.87
Cabbage,Peaty,933.17,10.92,159.2,4.09,1.95
Quinoa,Sandy,785.1,11.35,134.94,1.12,3.87
Tomatoes,Clay,443.23,19.66,141.64,4.2,1.99
Greengrams,Peaty,642.15,15.05,156.42,5.48,2.05
Cauliflower,Chalky,861.33,29.05,286.12,3.66,3.25
Quinoa,Chalky,853.71,34.26,61.52,2.44,3.43
Zucchini,Chalky,968.07,32.59,241.47,3.27,4.95
Onions,Sandy,916.93,19.82,51.45,6.76,2.78
Peanuts,Sandy,1097.71,17.89,258.31,4.0,4.67
Blueberries,Clay,522.97,15.21,230.52,5.54,4.81
Peanuts,Chalky,1112.48,27.56,162.8,5.47,2.16
Quinoa,Chalky,1001.71,27.16,80.23,6.3,2.37
Broccoli,Loamy,583.68,21.91,63.33,6.52,3.26
Oats,Chalky,1452.66,19.32,103.55,0.56,1.65
Apples,Chalky,1187.32,11.15,77.52,8.8,2.84
Oats,Chalky,509.08,26.07,183.61,4.23,2.6
Peas,Peaty,436.09,10.14,114.08,9.0,2.51
Zucchini,Silty,655.34,19.87,212.93,2.6,4.03
Cowpeas,Sandy,1290.19,33.3,101.99,7.97,2.37
Onions,Peaty,1225.49,13.5,191.72,5.4,4.91
Cabbage,Silty,1058.19,27.48,171.75,3.62,1.34
Lettuce,Sandy,913.7,22.08,183.53,1.35,1.71
Maize,Clay,681.23,22.31,184.51,4.63,1.94
Barley,Sandy,291.15,30.41,158.98,9.55,3.88
Avocados,Peaty,304.36,12.27,185.61,9.41,2.82
Bananas,Chalky,291.56,19.16,119.59,7.21,1.61
Strawberries,Chalky,1195.97,18.02,107.43,8.09,1.69
Mangoes,Peaty,563.18,30.2,257.76,4.08,1.81
Amaranth,Sandy,1443.95,31.05,299.54,7.77,0.6
Spinach,Chalky,1266.1,34.95,205.12,7.32,4.37
Tomatoes,Loamy,485.53,12.24,178.32,9.42,4.72
Tea,Chalky,640.03,20.36,211.79,4.76,2.84
Oranges,Sandy,243.19,11.26,174.87,4.49,4.6
Oranges,Peaty,1006.17,30.55,72.66,9.21,1.58
Garlic,Sandy,1286.13,27.08,139.31,7.0,4.24
Mangoes,Loamy,961.41,17.29,244.95,9.64,3.87
Apples,Chalky,248.97,12.7,86.52,8.36,1.94
Apples,Chalky,923.56,23.28,181.64,6.34,4.31
Oranges,Peaty,663.84,18.09,201.4,2.97,3.55
Broccoli,Sandy,601.35,23.75,84.43,2.32,1.64
Sugarcane,Sandy,1310.36,24.81,273.09,5.78,2.92
Barley,Chalky,1082.69,33.35,176.46,4.85,1.9
Sunflower,Silty,932.03,20.16,179.1,9.8,0.65
Soybeans,Chalky,206.23,34.0,282.34,3.14,0.83
Blueberries,Loamy,337.27,20.16,204.14,3.24,4.14
Pumpkin,Loamy,1149.83,18.92,260.91,6.95,3.16
Cassava,Chalky,276.92,29.73,69.61,9.01,3.67
Cowpeas,Peaty,961.29,15.17,198.44,9.49,1.85
Zucchini,Silty,1134.76,11.02,208.89,6.49,2.9
Peanuts,Clay,1059.22,31.51,134.18,3.68,4.77
Chickpeas,Peaty,520.35,10.06,82.04,9.65,0.64
Beans,Silty,1376.85,26.98,92.35,9.82,1.93
Soybeans,Chalky,503.94,18.46,299.57,1.85,1.63
Strawberries,Clay,1098.18,17.6,120.39,5.12,1.6
Tomatoes,Loamy,1013.03,27.8,84.9,2.6,4.41
Garlic,Loamy,411.65,28.47,224.49,5.26,4.27
Grapes,Silty,300.02,11.37,50.83,5.48,4.65
Apples,Silty,914.83,29.4,257.56,5.8,4.37
Garlic,Loamy,575.24,35.0,170.16,7.08,4.29
Cowpeas,Silty,869.42,16.12,166.63,2.96,2.46
Corn,Silty,1467.3,22.03,288.14,7.87,4.82
Tomatoes,Loamy,475.89,15.76,53.11,2.59,3.29
Oats,Loamy,784.69,14.27,172.49,4.27,4.7
Broccoli,Sandy,258.16,18.16,132.51,6.87,2.76
Tomatoes,Silty,809.14,31.67,191.79,7.49,4.85
Wheat,Silty,714.53,34.86,266.31,1.62,3.42
Tobacco,Sandy,383.99,26.98,261.34,5.45,3.25
Pears,Sandy,838.5,16.55,148.12,3.82,1.6
Barley,Chalky,1342.56,30.13,114.0,6.65,1.22
Apples,Silty,1096.7,33.72,143.05,7.35,0.68
Peas,Loamy,714.06,18.1,65.88,4.85,4.45
Lettuce,Sandy,714.7,22.67,179.67,8.76,0.52
Garlic,Sandy,249.42,18.38,181.83,1.17,3.28
Alfalfa,Clay,1340.59,25.85,96.93,5.32,1.56
Apples,Clay,1354.46,34.14,275.12,5.46,0.95
Cocoa,Chalky,395.19,14.63,254.01,4.4,4.48
Tomatoes,Silty,1290.16,13.93,280.02,8.3,1.6
Soybeans,Sandy,1375.54,21.8,249.69,2.99,3.6
Millet,Peaty,1418.49,29.07,228.37,2.53,3.77
Apples,Sandy,987.12,23.82,152.38,5.5,1.06
Sunflower,Peaty,1032.12,24.02,248.15,1.39,4.31
Chickpeas,Peaty,517.88,34.71,55.53,3.51,4.23
Tobacco,Silty,628.89,25.9,291.95,5.88,1.54
Greengrams,Clay,217.3,10.12,187.05,4.64,4.63
Sorghum,Clay,1439.77,25.91,274.65,8.79,1.24
Spinach,Peaty,316.12,10.8,125.09,1.28,1.11
Grapes,Loamy,1421.99,20.22,60.65,4.69,4.89
Garlic,Sandy,1004.07,14.43,242.37,3.8,3.87
Sorghum,Clay,1137.5,25.71,248.45,3.98,1.51
Bananas,Loamy,773.31,10.15,278.55,8.56,1.97
Alfalfa,Chalky,711.19,28.48,160.65,8.39,1.52
Peas,Silty,464.46,23.51,104.34,2.49,2.22
Tomatoes,Sandy,219.39,20.07,90.88,7.91,4.95
Chickpeas,Silty,1180.47,29.7,232.84,6.71,4.46
Greengrams,Sandy,1361.11,30.17,80.1,1.86,2.6
Pineapple,Loamy,601.78,25.95,170.63,1.01,4.01
Barley,Peaty,1412.87,28.94,202.75,4.53,3.34
Bananas,Loamy,244.26,10.22,291.47,6.08,3.56
Beans,Silty,471.6,21.29,194.39,5.71,2.27
Broccoli,Sandy,588.4,32.76,242.2,7.16,4.21
Cassava,Sandy,368.69,34.28,141.28,0.53,4.73
Hemp,Chalky,325.14,10.18,136.5,1.24,4.67
Avocados,Peaty,557.88,23.86,192.7,0.53,2.51
Oranges,Peaty,416.09,23.69,72.37,5.57,2.04
Cassava,Peaty,1053.86,23.44,145.38,7.85,1.89
Cabbage,Silty,549.99,21.17,161.18,5.23,4.6
Quinoa,Peaty,286.38,12.92,252.18,4.37,1.67
Spinach,Sandy,604.57,14.7,222.69,5.85,1.24
Beans,Silty,1336.92,20.37,174.61,4.39,1.18
Peanuts,Silty,913.12,23.35,145.2,7.5,3.37
Strawberries,Peaty,1267.2,26.84,273.08,4.32,3.13
Spinach,Clay,555.69,11.62,209.27,2.19,2.17
Wheat,Sandy,1384.27,26.69,194.3,4.93,0.86
Cassava,Loamy,964.0,19.88,222.95,1.67,4.02
Sugarcane,Silty,1098.52,18.21,238.07,7.9,3.81
Maize,Sandy,485.24,30.41,142.93,8.11,1.71
Cabbage,Loamy,701.36,34.13,98.85,9.67,1.76
Grapes,Silty,1498.36,10.2,162.86,9.35,2.05
Pumpkin,Sandy,1423.51,19.73,127.59,3.61,2.76
Cowpeas,Chalky,642.86,29.08,150.68,4.82,1.87
Barley,Silty,1001.56,33.95,229.3,1.94,3.96
Maize,Sandy,1483.33,25.66,159.86,6.56,3.71
Beans,Silty,1445.84,16.12,296.38,6.06,2.02
Sorghum,Silty,1258.22,34.99,284.33,10.0,4.88
Wheat,Sandy,1113.54,10.64,90.43,1.78,4.91
Pumpkin,Loamy,806.76,30.55,171.72,1.66,2.57
Cowpeas,Clay,1312.57,19.59,197.25,6.05,1.43
Grapes,Peaty,704.6,21.8,233.75,7.56,1.76
Sugarcane,Sandy,1295.24,32.08,264.18,6.1,2.57
Zucchini,Loamy,575.86,31.32,177.33,0.69,2.09
Pumpkin,Silty,950.74,20.91,161.56,8.16,3.26
Barley,Loamy,996.48,31.6,144.24,3.41,3.33
Peas,Clay,639.99,18.64,121.21,4.32,0.69
Tobacco,Chalky,1095.54,12.88,244.61,5.42,1.33
Tomatoes,Clay,424.25,26.3,185.11,1.4,4.81
Barley,Sandy,223.33,11.13,128.76,6.29,3.13
Carrots,Silty,517.09,16.73,233.88,7.4,4.89
Rice,Silty,499.09,13.45,92.46,2.63,4.59
Spinach,Chalky,752.76,11.56,96.81,8.57,0.73
Blueberries,Loamy,388.71,15.45,169.86,3.26,3.15
Blueberries,Sandy,1344.75,20.63,55.94,7.8,3.06
Hemp,Silty,1448.14,11.65,144.17,6.35,3.64
Avocados,Sandy,421.59,13.67,144.98,0.58,4.26
Apples,Chalky,1380.32,31.51,153.63,3.13,4.5
Carrots,Loamy,256.57,30.4,265.7,8.49,2.87
Cowpeas,Sandy,1330.41,11.14,265.2,5.79,4.3
Soybeans,Clay,944.81,16.17,166.15,4.11,1.25
Cocoa,Sandy,503.23,22.68,73.53,3.18,0.92
Cowpeas,Sandy,1242.22,25.97,121.07,6.31,3.97
Rice,Sandy,1284.97,15.99,231.78,4.58,0.65
Cotton,Chalky,841.13,21.08,52.54,8.95,1.58
Grapes,Loamy,362.14,11.07,166.88,7.1,0.67
Onions,Silty,1301.58,32.86,98.31,4.14,3.01
Potatoes,Peaty,314.58,18.82,275.91,9.78,3.91
Alfalfa,Sandy,283.09,10.95,134.36,5.63,0.77
Amaranth,Silty,824.06,12.2,83.19,0.68,4.36
Cowpeas,Sandy,957.3,10.55,124.84,2.27,2.97
Cotton,Silty,711.96,31.83,180.46,7.0,1.4
Broccoli,Clay,691.88,25.39,262.03,6.66,1.58
Onions,Silty,841.82,30.14,187.92,9.68,4.18
Mangoes,Silty,1377.05,33.18,78.66,2.98,3.96
Tobacco,Loamy,1175.99,30.42,111.11,8.88,2.11
Greengrams,Clay,1288.18,11.85,115.18,8.59,3.13
Lentils,Sandy,563.57,28.82,152.37,5.78,2.96
Peanuts,Loamy,1127.99,22.27,87.11,2.58,4.46
Soybeans,Chalky,251.32,13.49,175.69,1.22,0.61
Millet,Clay,1380.15,33.03,190.76,5.17,3.25
Cowpeas,Sandy,1057.53,29.03,178.89,7.47,1.35
Bananas,Clay,699.67,17.32,199.99,6.18,1.09
Tobacco,Clay,1170.11,20.75,150.97,6.34,1.92
Grapes,Chalky,1219.47,16.41,286.74,3.05,1.99
Peas,Clay,1112.78,32.92,85.36,2.71,2.89
Hemp,Sandy,455.52,30.2,235.95,6.64,2.16
Hemp,Peaty,1224.93,34.07,214.11,1.12,1.32
Cowpeas,Clay,745.31,11.05,126.94,7.82,1.38
Mangoes,Sandy,260.54,10.9,103.0,3.62,4.49
Chickpeas,Sandy,1050.26,10.77,267.06,6.49,2.78
Peas,Clay,654.95,34.51,281.82,3.78,2.61
Sorghum,Sandy,1189.16,15.69,264.82,8.43,3.57
Maize,Sandy,468.98,11.79,129.4,2.91,3.04
Strawberries,Loamy,1201.16,14.77,115.45,9.93,2.72
Sorghum,Chalky,513.56,34.99,104.22,7.23,1.59
Bananas,Chalky,926.26,19.18,262.75,6.15,2.17
Oats,Clay,1433.12,20.57,73.3,6.55,3.3
Soybeans,Peaty,615.82,24.35,285.4,7.2,4.06
Cowpeas,Sandy,581.85,27.55,248.57,5.76,1.62
Carrots,Sandy,615.21,25.47,78.82,8.58,3.93
Sunflower,Chalky,886.65,31.68,219.33,6.27,4.39
Oranges,Silty,859.21,20.13,61.03,9.77,2.94
Sugarcane,Clay,650.98,32.45,56.75,7.08,3.89
Millet,Peaty,788.07,27.97,238.36,6.55,2.01
Pears,Clay,786.91,16.0,223.29,6.29,1.26
Oranges,Peaty,264.01,11.27,154.9,9.21,0.77
Millet,Peaty,815.12,14.28,258.1,9.85,3.5
Grapes,Silty,1345.98,28.0,182.23,3.38,1.57
Quinoa,Loamy,1303.04,18.65,208.52,2.83,2.57
Flax,Silty,827.38,29.28,222.51,6.55,3.02
Quinoa,Peaty,379.87,29.26,68.37,7.95,1.18
Cauliflower,Clay,1248.27,21.02,196.0,4.11,1.39
Beans,Silty,1363.55,25.21,165.81,7.14,2.41
Cocoa,Clay,394.78,11.45,235.82,8.48,2.47
Barley,Chalky,998.64,28.96,207.28,6.7,4.44
Broccoli,Clay,249.83,25.22,273.48,6.34,1.47
Pumpkin,Peaty,203.99,14.76,140.32,1.37,3.41
Beans,Silty,774.32,31.67,120.18,4.09,4.98
Alfalfa,Chalky,1148.89,25.74,149.74,5.95,0.58
Sugarcane,Chalky,205.12,18.61,117.38,0.98,2.28
Cowpeas,Loamy,655.94,29.04,131.62,2.08,4.61
Cabbage,Peaty,903.68,34.06,74.09,4.87,1.3
Pumpkin,Clay,503.58,29.79,75.47,9.27,3.62
Grapes,Loamy,651.38,16.89,121.79,1.12,2.25
Cotton,Sandy,1261.52,31.08,152.07,7.03,4.6
Beans,Peaty,1319.04,25.17,152.34,8.81,3.28
Zucchini,Sandy,635.29,13.63,61.14,6.62,4.54
Quinoa,Silty,600.64,11.28,58.59,4.68,2.67
Grapes,Clay,1449.26,28.02,196.49,8.2,3.46
Cocoa,Silty,848.54,14.53,77.26,7.88,0.77
Blueberries,Clay,1457.35,12.24,121.72,8.91,0.96
Flax,Loamy,346.71,18.72,182.28,7.29,3.47
Barley,Peaty,268.41,32.26,194.51,2.57,3.62
Cabbage,Chalky,359.66,22.16,219.83,5.24,3.55
Sugarcane,Clay,1244.9,32.59,221.94,5.92,2.23
Peanuts,Sandy,223.35,26.29,137.5,1.75,0.97
Grapes,Chalky,1476.36,31.32,76.53,4.79,0.74
Cocoa,Clay,1250.42,18.79,263.23,2.28,1.76
Grapes,Sandy,667.19,13.78,91.37,3.7,1.85
Peas,Chalky,1168.02,26.91,108.6,9.24,1.77
Maize,Silty,913.15,31.12,97.32,6.52,3.17
Greengrams,Peaty,1433.78,23.02,63.44,0.82,4.48
Sugarcane,Sandy,710.34,28.38,142.91,3.11,2.37
Avocados,Sandy,369.04,24.62,154.14,0.93,1.39
Oats,Chalky,1394.46,14.68,99.3,6.14,1.01
Oranges,Loamy,1321.62,12.87,293.66,1.32,1.98
Sunflower,Clay,708.38,34.34,143.09,6.76,1.81
Lentils,Silty,1216.04,28.27,50.28,4.23,2.28
Tobacco,Sandy,929.24,22.78,100.61,4.62,3.56
Bananas,Sandy,875.87,26.14,141.57,3.93,1.82
Blueberries,Silty,597.22,31.93,249.68,6.46,3.82
Sugarcane,Loamy,871.64,30.68,89.18,2.01,1.57
Oranges,Loamy,394.0,21.75,53.73,1.05,2.3
Sorghum,Silty,466.17,30.72,53.59,2.05,4.23
Soybeans,Sandy,595.36,33.92,171.2,8.3,2.81
Tea,Sandy,1452.61,12.81,272.01,4.18,1.86
Sorghum,Loamy,912.8,31.72,266.98,3.47,3.59
Beans,Loamy,653.77,19.24,93.78,4.75,4.24
Oranges,Loamy,509.56,34.3,111.97,5.88,4.93
Grapes,Chalky,1222.53,15.8,163.84,3.2,1.14
Grapes,Silty,729.72,10.11,73.24,5.39,4.49
Hemp,Peaty,1443.02,33.81,286.86,9.55,1.53
Corn,Silty,915.03,31.67,169.26,6.83,2.89
Hemp,Chalky,819.82,24.82,204.07,0.82,4.19
Oats,Peaty,255.97,30.68,293.09,4.2,3.15
Wheat,Silty,971.35,18.95,225.75,5.69,1.74
Cauliflower,Silty,1168.05,28.17,214.7,1.46,4.74
Broccoli,Peaty,297.84,31.86,84.31,6.46,3.68
Mangoes,Peaty,749.52,26.33,272.3,6.14,0.61
Peas,Silty,1366.17,14.54,139.71,6.91,0.97
Amaranth,Loamy,702.6,30.84,142.54,4.55,3.77
Peas,Silty,608.99,32.87,180.26,8.05,0.81
Blueberries,Loamy,501.85,28.46,296.26,3.58,2.12
Amaranth,Loamy,781.75,10.49,50.16,7.91,3.78
Tomatoes,Chalky,986.15,11.71,55.0,9.48,4.58
Bananas,Clay,940.47,33.15,279.5,6.96,1.42
Peanuts,Sandy,247.81,21.94,144.82,2.76,4.76
Cocoa,Peaty,1294.32,29.07,53.4,3.98,2.94
Avocados,Peaty,268.63,30.68,121.55,8.28,3.36
Greengrams,Chalky,1474.71,16.52,177.79,0.77,1.48
Carrots,Silty,533.59,17.63,73.08,6.39,2.99
Peanuts,Silty,358.86,26.92,295.37,3.07,2.68
Strawberries,Chalky,817.82,33.48,83.09,3.56,3.5
Maize,Peaty,1372.37,10.68,130.45,3.29,1.7
Oranges,Sandy,984.48,13.81,180.5,4.01,1.79
Amaranth,Silty,858.57,18.0,102.84,8.72,3.82
Spinach,Sandy,1139.85,28.01,180.29,3.86,1.85
Cowpeas,Clay,921.99,31.61,143.05,3.36,2.91
Cabbage,Sandy,362.48,17.33,202.99,5.06,1.42
Sunflower,Silty,1297.45,25.86,119.26,5.39,3.05
Mangoes,Chalky,614.44,31.58,82.54,1.36,4.85
Beans,Clay,288.75,25.63,63.79,1.89,1.79
Broccoli,Peaty,354.74,21.6,274.73,8.33,1.14
Cauliflower,Loamy,1157.23,30.21,172.98,9.24,4.38
Barley,Peaty,1401.24,27.66,251.3,6.06,3.46
Peanuts,Peaty,896.94,34.76,121.56,3.47,4.7
Apples,Clay,1173.58,18.26,118.12,8.87,2.15
Sorghum,Sandy,1276.78,13.01,226.48,6.59,4.02
Quinoa,Chalky,381.76,16.3,107.9,8.5,4.73
Cowpeas,Silty,1380.32,10.93,210.14,4.39,4.24
Lentils,Sandy,1299.98,29.44,258.44,5.81,3.15
Carrots,Peaty,1451.36,30.17,95.11,9.1,4.44
Strawberries,Sandy,1064.6,15.42,264.53,7.97,3.67
Soybeans,Silty,1034.17,12.21,212.18,9.6,4.88
Alfalfa,Sandy,390.28,32.36,239.29,9.53,0.5
Peanuts,Sandy,239.05,28.48,297.62,6.98,2.69
Peas,Silty,514.87,10.62,234.08,3.4,4.4
Peas,Silty,963.7,34.1,279.21,9.5,2.63
Cauliflower,Sandy,483.7,15.99,148.4,0.99,4.58
Spinach,Loamy,876.35,30.53,92.75,9.72,1.94
Bananas,Sandy,859.57,21.65,86.36,7.24,3.27
Quinoa,Silty,963.84,30.27,220.09,4.08,4.72
Peas,Sandy,452.0,11.7,292.33,2.36,1.66
Oranges,Silty,1370.39,28.54,53.15,2.76,1.81
Barley,Clay,1180.56,26.09,163.12,7.18,1.43
Garlic,Clay,1415.98,25.77,143.6,1.99,1.74
Apples,Clay,433.49,29.04,58.73,2.91,1.95
Tea,Peaty,329.1,17.52,77.03,5.49,2.36
Oranges,Silty,1018.07,30.02,103.24,3.34,3.45
Cotton,Peaty,680.93,30.05,293.44,9.42,2.44
Greengrams,Chalky,1255.12,31.79,287.14,1.67,4.13
Zucchini,Peaty,403.96,14.84,242.56,1.94,1.84
Barley,Sandy,924.92,19.06,153.13,8.4,1.69
Cocoa,Loamy,1269.4,20.46,96.53,8.18,1.93
Pineapple,Silty,1012.63,16.48,294.7,5.31,3.05
Potatoes,Peaty,1356.49,34.0,75.27,9.29,0.85
Tomatoes,Sandy,1454.26,29.12,297.09,5.17,2.24
Greengrams,Loamy,1149.08,12.43,225.05,9.19,1.22
Chickpeas,Chalky,958.11,20.24,178.11,0.54,3.49
Strawberries,Peaty,1223.44,32.24,289.92,9.32,4.12
Cowpeas,Clay,258.75,14.72,198.45,8.28,2.82
Garlic,Peaty,1458.25,12.85,244.1,8.82,4.51
Blueberries,Peaty,770.29,27.81,235.85,8.35,4.44
Sugarcane,Silty,767.1,21.48,97.3,7.32,1.78
Carrots,Peaty,769.06,11.67,233.49,5.28,3.78
Potatoes,Silty,992.86,22.08,88.97,4.88,3.64
Pumpkin,Chalky,926.51,28.57,221.14,4.17,4.98
Carrots,Chalky,1436.15,11.12,256.41,4.08,2.91
Tobacco,Loamy,1144.04,14.97,238.2,3.82,2.54
Cocoa,Silty,1262.63,20.55,111.97,7.38,2.45
Zucchini,Sandy,754.11,30.29,78.71,3.35,1.18
Potatoes,Chalky,372.43,26.94,70.04,4.33,0.6
Barley,Sandy,1044.33,16.25,55.17,1.9,4.53
Apples,Clay,1231.48,12.14,288.97,2.73,3.14
Peas,Clay,1064.42,23.27,76.88,3.25,4.25
Cowpeas,Chalky,1420.85,18.22,108.73,5.49,3.03
Soybeans,Sandy,1399.06,21.99,72.25,3.69,3.01
Tobacco,Clay,644.33,19.67,77.47,7.94,4.97
Peas,Loamy,966.41,16.7,112.8,4.46,3.51
Avocados,Chalky,694.62,12.01,114.69,9.37,1.68
Sorghum,Clay,729.45,23.15,79.94,5.01,4.43
Alfalfa,Loamy,968.9,27.57,142.97,2.1,0.96
Carrots,Chalky,719.79,25.92,104.62,5.66,2.29
Apples,Clay,635.72,13.55,87.24,8.49,3.1
Cowpeas,Chalky,1370.25,18.45,116.99,2.34,2.65
Potatoes,Chalky,462.51,28.73,224.39,6.53,3.61
Lettuce,Loamy,1051.38,22.27,62.08,8.73,1.8
Zucchini,Loamy,963.29,24.92,106.23,8.83,4.04
Lentils,Silty,1262.37,24.43,216.24,3.59,3.88
Quinoa,Loamy,375.87,13.87,124.68,4.57,3.37
Cotton,Loamy,1078.6,20.34,211.26,1.53,2.16
Alfalfa,Peaty,1181.19,28.41,279.35,0.86,2.25
Apples,Sandy,1383.19,26.63,68.38,0.95,0.62
Cowpeas,Peaty,285.12,13.63,120.02,9.24,1.54
Corn,Clay,1223.05,29.2,210.15,0.72,3.11
Pumpkin,Sandy,774.49,13.98,219.21,3.29,1.93
Lentils,Sandy,551.63,27.87,143.48,9.06,3.56
Cauliflower,Chalky,763.5,32.82,55.89,9.1,4.64
Amaranth,Chalky,1125.13,30.04,257.35,9.47,4.23
Hemp,Loamy,547.17,26.86,94.93,6.11,2.33
Cassava,Peaty,286.34,19.49,192.69,8.36,4.35
Rice,Silty,498.89,32.47,151.65,6.08,1.23
Tea,Loamy,1411.44,32.48,298.15,8.31,0.76
Carrots,Clay,1009.8,19.47,190.92,9.68,1.8
Peanuts,Chalky,214.47,15.68,192.44,1.45,1.59
Sunflower,Clay,1390.77,20.97,194.63,2.75,3.32
Broccoli,Silty,1166.61,16.29,188.45,4.94,4.3
Sorghum,Loamy,1397.77,10.19,165.47,7.7,3.95
Tomatoes,Loamy,271.94,31.48,131.73,9.47,3.16
Cotton,Silty,1440.49,12.23,187.49,4.96,1.71
Hemp,Clay,1411.22,21.58,65.93,6.85,2.25
Beans,Peaty,270.33,17.0,65.13,0.82,1.33
Apples,Clay,1032.12,26.24,84.48,3.57,1.38
